compound_id,compound_name_raw,compound_name_normalized,pubchem_cid,molecular_formula,molecular_weight,smiles,inchikey,iupac_name,xlogp,tpsa,dtxsid,dtxcid,logd55,logd74,ready_bio_deg,kegg_ids,kegg_names,kegg_pathways,chembl_ids
CMPD_BDE96CB40FD4,hederacoside B,hederacoside b,56842417,C59H96O25,1205.4,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H](CO[C@H]2O[C@H]3CC[C@@]4([C@H]5CC=C6[C@H]7CC(CC[C@@]7(CC[C@]6([C@@]5(CCC4C3(C)C)C)C)C(=O)O[C@@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O[C@H]9[C@@H]([C@@H]([C@H]([C@@H](O9)C)O)O)O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)(C)C)C)O)O)O)O)O,BDYNJUHCBBNLKK-KXHZANHWSA-N,"[(2R,3R,4S,5R,6R)-5-hydroxy-6-(hydroxymethyl)-3-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl] (4aS,6aR,6aS,6bR,10S,12aR,14bR)-10-[(2S,3R,4S,5S)-4,5-dihydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate",0.4,393,DTXSID00189824,DTXCID60112315,"-1,12","-0,63",1.0,,,,
CMPD_BDEFAA245443,"N-[3-[2-(2,3-dihydro-3-hydroxy-2-oxo-3-indolyl)-1-oxoethyl]","n [3 [2 (2,3 dihydro 3 hydroxy 2 oxo 3 indolyl) 1 oxoethyl]",,,,,,,,,,,,,,,,,
CMPD_BE0CF2466817,4-0-beta-D-glucopyranosyloxybenzoic acid,4 0 beta d glucopyranosyloxybenzoic acid,,,,,,,,,,,,,,,,,
CMPD_BE18C2827710,"quercetin 7,3?-dimethyl ether",quercetin 7 3? dimethyl ether,,,,,,,,,,,,,,,,,
CMPD_BE2DE24A7E34,Monocrotaline,monocrotaline,9415,C16H23NO6,325.36,C[C@H]1C(=O)O[C@@H]2CCN3[C@@H]2C(=CC3)COC(=O)[C@]([C@]1(C)O)(C)O,QVCMHGGNRFRMAD-XFGHUUIASA-N,"(1R,4R,5R,6R,16R)-5,6-dihydroxy-4,5,6-trimethyl-2,8-dioxa-13-azatricyclo[8.5.1.013,16]hexadec-10-ene-3,7-dione",-0.7,96.3,DTXSID9020902,DTXCID50902,"-3,57","-1,68",0.0,,,,
CMPD_BE2E7F226F4A,Pinoresinol,pinoresinol,73399,C20H22O6,358.4,COC1=C(C=CC(=C1)[C@@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC(=C(C=C4)O)OC)O,HGXBRUKMWQGOIE-AFHBHXEDSA-N,"4-[(3S,3aR,6S,6aR)-6-(4-hydroxy-3-methoxyphenyl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-3-yl]-2-methoxyphenol",2.3,77.4,DTXSID20964099,DTXCID801767063,,,,C05366 | C20455,(-)-Pinoresinol | (+)-Pinoresinol,map00999  Biosynthesis of various plant secondary metabolites,CHEMBL260183
CMPD_BE2F8B8C38DA,alpha-copaene,alpha copaene,70678558,C15H24,204.35,CC1=CC[C@H]2[C@H]3C1[C@]2(CC[C@H]3C(C)C)C,VLXDPFLIRFYIME-XIQJJJERSA-N,"(1S,6S,7S,8S)-1,3-dimethyl-8-propan-2-yltricyclo[4.4.0.02,7]dec-3-ene",4.5,0,DTXSID30873067,DTXCID601324318,"5,01","5,01",0.0,,,,
CMPD_BE439CFF3C0F,alpha-thujene,alpha thujene,17868,C10H16,136.23,CC1=CCC2(C1C2)C(C)C,KQAZVFVOEIRWHN-UHFFFAOYSA-N,2-methyl-5-propan-2-ylbicyclo[3.1.0]hex-2-ene,2.8,0,DTXSID20863038,DTXCID70811721,"4,41","4,41",0.0,,,,
CMPD_BE54F542A231,gallocatechin gallate,gallocatechin gallate,,,,,,,,,,,,,,,,,CHEMBL126079
CMPD_BE5C96733099,"11,13-dehydromelitensin",11 13 dehydromelitensin,133554346,C15H20O4,264.32,C[C@@]1(C[C@H]([C@H]2[C@H]([C@@H]1C(=C)CO)OC(=O)C2=C)O)C=C,GQBRDBUFLQZZBP-KDBYPZKRSA-N,"(3aS,4R,6R,7S,7aS)-6-ethenyl-4-hydroxy-7-(3-hydroxyprop-1-en-2-yl)-6-methyl-3-methylidene-4,5,7,7a-tetrahydro-3aH-1-benzofuran-2-one",1.8,66.8,,,,,,,,,
CMPD_BE6E5CAFB401,dihydroerysodine,dihydroerysodine,618044,C18H23NO3,301.4,COC1CC=C2CCN3C2(C1)C4=CC(=C(C=C4CC3)O)OC,MELHWYMSUKVKFK-UHFFFAOYSA-N,"2,12-dimethoxy-2,3,5,6,8,9-hexahydro-1H-indolo[7a,1-a]isoquinolin-11-ol",2,41.9,,,,,,,,,
CMPD_BE76FBB3FA52,15-acetyl dehydromelitensin,15 acetyl dehydromelitensin,101539213,C10H17NO3,199.25,C1COCCN1C(=O)/C=C/CCCO,JFFJXZJICOETEO-DUXPYHPUSA-N,(E)-6-hydroxy-1-morpholin-4-ylhex-2-en-1-one,-0.3,49.8,,,,,,,,,
CMPD_BE810D305B5E,Shybinol,shybinol,,,,,,,,,,,,,,,,,
CMPD_BE929E65D82D,"angustifolioside A ",angustifolioside a,,,,,,,,,,,,,,,,,
CMPD_BE98FBB5FEF1,Uracil,uracil,1174,C4H4N2O2,112.09,C1=CNC(=O)NC1=O,ISAKRJDGNUQOIC-UHFFFAOYSA-N,"1H-pyrimidine-2,4-dione",-1.1,58.2,DTXSID4021424,DTXCID101424,"-2,86","-1,43",1.0,C00106,Uracil,map00240  Pyrimidine metabolism,
CMPD_BEC0A104A07E,Vitexin 2-O-beta-D-(6-acetyl)-glucopyranoside,vitexin 2 o beta d (6 acetyl) glucopyranoside, 5280641,,,,,,,,,,,,,,,,
CMPD_BEC6B49B290F,Cocciferins D,cocciferins d,,,,,,,,,,,,,,,,,
CMPD_BEC829917CD5,alkaloids isopelletierine,alkaloids isopelletierine,,,,,,,,,,,,,,,,,
