compound_id,file_name,file_path,file_type,match_method,match_score,source
CMPD_1EDCF06D5113,100918.sdf,/structures/100918.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_B4E799F31498,100927727.sdf,/structures/100927727.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_8EBDC56E9695,10100906.sdf,/structures/10100906.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_1DFA88F9D00E,101037563.sdf,/structures/101037563.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_8ED25A7BBC10,101044443.sdf,/structures/101044443.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_EB3AD4532963,101235129.sdf,/structures/101235129.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_02440644F835,101287955.sdf,/structures/101287955.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_B41CECAC952C,10133609.sdf,/structures/10133609.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_1D1FCF7F7C4F,101374523.sdf,/structures/101374523.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_F22E655D4F20,101416738.sdf,/structures/101416738.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_39AD180F0CCB,101416757.sdf,/structures/101416757.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_AA7860EBC47C,10141695.sdf,/structures/10141695.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_A741B5BD24A5,101419.sdf,/structures/101419.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_E6824F2148CC,101458474.sdf,/structures/101458474.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_0F9BFDA16584,101459529.sdf,/structures/101459529.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_413CF27602A9,101481072.sdf,/structures/101481072.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_F1AEF279E9B3,101481177.sdf,/structures/101481177.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_3B1656A71131,101490212.sdf,/structures/101490212.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_FA240B4AD84A,10155076.sdf,/structures/10155076.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_95641F3F1D1D,101560938.sdf,/structures/101560938.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_B83EDA889CD3,101569424.sdf,/structures/101569424.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_4125E8614FED,101584237.sdf,/structures/101584237.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_5D1FEF23C5C7,101783853.sdf,/structures/101783853.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_12FC784B07D2,101831551.sdf,/structures/101831551.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_B72801F8656A,101851214.sdf,/structures/101851214.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_D276598047CF,101915806.sdf,/structures/101915806.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_2852109F7596,101968367.sdf,/structures/101968367.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_AAC106D4C069,101968531.sdf,/structures/101968531.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_FE8070A5E172,102005470.sdf,/structures/102005470.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_32C0C9A96389,102141527.sdf,/structures/102141527.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_8146045BD211,102142270.sdf,/structures/102142270.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_986044D515A8,102146821.sdf,/structures/102146821.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_E7ADC2FB22C1,102146824.sdf,/structures/102146824.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_36CBD3A3BF7F,10214811.sdf,/structures/10214811.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_144C64095429,102148419.sdf,/structures/102148419.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_2BEA68CE5724,102377366.sdf,/structures/102377366.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_77FC9B0476D7,102555627.sdf,/structures/102555627.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_4F4CCFA46C84,103857.sdf,/structures/103857.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_4DA0E41DB6F4,10408.sdf,/structures/10408.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_12286FB4ABFC,10419339.sdf,/structures/10419339.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_C866D923B8B2,10419356.sdf,/structures/10419356.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_20F94B828673,10427844.sdf,/structures/10427844.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_97E188F3B1F1,10429288.sdf,/structures/10429288.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
